,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point
9729,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:35,27.96083023925606,11
9730,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:36,27.96083023925606,11
9731,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:37,27.96083023925606,11
9732,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:38,27.96083023925606,11
9733,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:39,27.96083023925606,11
9734,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:40,27.96083023925606,11
9735,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:41,27.96083023925606,11
9736,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:42,27.96083023925606,11
9737,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:44,27.96083023925606,11
9738,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:45,27.96083023925606,11
9739,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:46,27.96083023925606,11
9740,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:47,27.96083023925606,11
9741,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:48,27.96083023925606,11
9742,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:49,27.96083023925606,11
9743,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:50,27.96083023925606,11
9744,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:51,27.96083023925606,11
9745,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:52,27.96083023925606,11
9746,f4:02:28:5a:28:63,19.477444,32.77256,40,-64,2022-07-11T14:06:35.199+0100,2022-07-11 14:06:53,27.96083023925606,11
