,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
8173,dc:a6:32:26:67:ab,33.17073,2.52214,80,-52,2022-07-11T09:48:48.082+0100,2022-07-11 09:48:48,7.369064028742049,8,,
8174,dc:a6:32:26:67:ab,33.17073,2.52214,80,-52,2022-07-11T09:48:48.082+0100,2022-07-11 09:48:49,7.369064028742049,8,,
8175,dc:a6:32:26:67:ab,29.612036,6.4481378,80,-53,2022-07-11T09:48:50.191+0100,2022-07-11 09:48:50,7.273502104739149,8,,
8176,dc:a6:32:26:67:ab,29.612036,6.4481378,80,-53,2022-07-11T09:48:50.191+0100,2022-07-11 09:48:52,7.273502104739149,8,,
8177,dc:a6:32:26:67:ab,29.601034,6.404141,80,-53,2022-07-11T09:48:52.197+0100,2022-07-11 09:48:53,7.229415215525872,8,,
8178,dc:a6:32:26:67:ab,29.590199,6.360791,80,-55,2022-07-11T09:48:54.206+0100,2022-07-11 09:48:54,7.185994292310702,8,,
8179,dc:a6:32:26:67:ab,29.590199,6.360791,80,-55,2022-07-11T09:48:54.206+0100,2022-07-11 09:48:55,7.185994292310702,8,,
8180,dc:a6:32:26:67:ab,33.623035,1.8685756,80,-52,2022-07-11T09:48:56.231+0100,2022-07-11 09:48:56,7.609309939287556,8,,
8181,dc:a6:32:26:67:ab,33.623035,1.8685756,80,-52,2022-07-11T09:48:56.231+0100,2022-07-11 09:48:57,7.609309939287556,8,,
8182,dc:a6:32:26:67:ab,29.133335,0.0,88,-56,2022-07-11T09:48:58.315+0100,2022-07-11 09:48:58,2.886614999999999,8,,
8183,dc:a6:32:26:67:ab,29.133335,0.0,88,-56,2022-07-11T09:48:58.315+0100,2022-07-11 09:48:59,2.886614999999999,8,,
8184,dc:a6:32:26:67:ab,29.133335,0.0,80,-53,2022-07-11T09:49:00.342+0100,2022-07-11 09:49:00,2.886614999999999,8,,
8185,dc:a6:32:26:67:ab,29.133335,0.0,80,-53,2022-07-11T09:49:00.342+0100,2022-07-11 09:49:01,2.886614999999999,8,,
