,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
11873,dc:a6:32:26:67:ab,40.0,10.0,80,-57,2022-07-11T13:49:54.675+0100,2022-07-11 13:49:55,12.877943186829176,13,,
11874,dc:a6:32:26:67:ab,40.0,10.0,80,-57,2022-07-11T13:49:56.738+0100,2022-07-11 13:49:56,12.877943186829176,13,,
11875,dc:a6:32:26:67:ab,40.0,10.0,80,-57,2022-07-11T13:49:56.738+0100,2022-07-11 13:49:57,12.877943186829176,13,,
11876,dc:a6:32:26:67:ab,40.0,10.0,80,-58,2022-07-11T13:49:58.749+0100,2022-07-11 13:49:58,12.877943186829176,13,,
11877,dc:a6:32:26:67:ab,40.0,10.0,80,-58,2022-07-11T13:49:58.749+0100,2022-07-11 13:50:00,12.877943186829176,13,,
11878,dc:a6:32:26:67:ab,40.0,10.0,80,-57,2022-07-11T13:50:00.843+0100,2022-07-11 13:50:01,12.877943186829176,13,,
11879,dc:a6:32:26:67:ab,40.0,10.0,80,-57,2022-07-11T13:50:00.843+0100,2022-07-11 13:50:02,12.877943186829176,13,,
11880,dc:a6:32:26:67:ab,40.0,10.0,80,-58,2022-07-11T13:50:02.863+0100,2022-07-11 13:50:03,12.877943186829176,13,,
11881,dc:a6:32:26:67:ab,40.0,10.0,80,-58,2022-07-11T13:50:02.863+0100,2022-07-11 13:50:04,12.877943186829176,13,,
11882,dc:a6:32:26:67:ab,40.0,10.0,80,-56,2022-07-11T13:50:04.889+0100,2022-07-11 13:50:05,12.877943186829176,13,,
11883,dc:a6:32:26:67:ab,40.0,10.0,80,-56,2022-07-11T13:50:04.889+0100,2022-07-11 13:50:06,12.877943186829176,13,,
11884,dc:a6:32:26:67:ab,40.0,10.0,80,-56,2022-07-11T13:50:06.926+0100,2022-07-11 13:50:07,12.877943186829176,13,,
11885,dc:a6:32:26:67:ab,40.0,10.0,80,-56,2022-07-11T13:50:06.926+0100,2022-07-11 13:50:08,12.877943186829176,13,,
11886,dc:a6:32:26:67:ab,40.0,10.0,80,-58,2022-07-11T13:50:08.994+0100,2022-07-11 13:50:10,12.877943186829176,13,,
11887,dc:a6:32:26:67:ab,39.191235,7.978082,80,-58,2022-07-11T13:50:11.014+0100,2022-07-11 13:50:11,14.26262751246449,13,,
11888,dc:a6:32:26:67:ab,39.191235,7.978082,80,-58,2022-07-11T13:50:11.014+0100,2022-07-11 13:50:12,14.26262751246449,13,,
11889,dc:a6:32:26:67:ab,38.38522,5.9630394,80,-57,2022-07-11T13:50:13.019+0100,2022-07-11 13:50:13,15.821253511121816,13,,
11890,dc:a6:32:26:67:ab,38.38522,5.9630394,80,-57,2022-07-11T13:50:13.019+0100,2022-07-11 13:50:14,15.821253511121816,13,,
11891,dc:a6:32:26:67:ab,37.584698,3.9617455,80,-57,2022-07-11T13:50:15.020+0100,2022-07-11 13:50:15,17.498736190627426,13,,
11892,dc:a6:32:26:67:ab,37.59837,3.9959157,80,-56,2022-07-11T13:50:17.022+0100,2022-07-11 13:50:17,17.469211480616472,13,,
11893,dc:a6:32:26:67:ab,37.59837,3.9959157,80,-56,2022-07-11T13:50:17.022+0100,2022-07-11 13:50:18,17.469211480616472,13,,
11894,dc:a6:32:26:67:ab,37.614784,4.0369606,80,-58,2022-07-11T13:50:19.031+0100,2022-07-11 13:50:19,17.43379070720583,13,,
11895,dc:a6:32:26:67:ab,37.614784,4.0369606,80,-58,2022-07-11T13:50:19.031+0100,2022-07-11 13:50:20,17.43379070720583,13,,
11896,dc:a6:32:26:67:ab,38.41639,6.0409765,80,-58,2022-07-11T13:50:21.025+0100,2022-07-11 13:50:21,15.75828330572757,13,,
11897,dc:a6:32:26:67:ab,38.41639,6.0409765,80,-58,2022-07-11T13:50:21.025+0100,2022-07-11 13:50:22,15.75828330572757,13,,
11898,dc:a6:32:26:67:ab,39.210403,8.026002,80,-58,2022-07-11T13:50:23.087+0100,2022-07-11 13:50:23,14.227513153166754,13,,
11899,dc:a6:32:26:67:ab,39.210403,8.026002,80,-58,2022-07-11T13:50:23.087+0100,2022-07-11 13:50:24,14.227513153166754,13,,
