,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
6030,dc:a6:32:26:67:ab,29.63945,12.382467,80,-59,2022-07-11T10:41:54.357+0100,2022-07-11 10:41:54,14.273336263849073,6,,
6031,dc:a6:32:26:67:ab,29.63945,12.382467,80,-59,2022-07-11T10:41:54.357+0100,2022-07-11 10:41:55,14.273336263849073,6,,
6032,dc:a6:32:26:67:ab,32.812977,7.609123,80,-57,2022-07-11T10:41:56.365+0100,2022-07-11 10:41:56,19.760459329794383,6,,
6033,dc:a6:32:26:67:ab,32.812977,7.609123,80,-57,2022-07-11T10:41:56.365+0100,2022-07-11 10:41:57,19.760459329794383,6,,
6034,dc:a6:32:26:67:ab,32.8209,7.571111,80,-57,2022-07-11T10:41:58.413+0100,2022-07-11 10:41:58,19.798944774741937,6,,
6035,dc:a6:32:26:67:ab,32.8209,7.571111,80,-57,2022-07-11T10:41:58.413+0100,2022-07-11 10:42:00,19.798944774741937,6,,
6036,dc:a6:32:26:67:ab,32.829353,7.532695,80,-57,2022-07-11T10:42:00.584+0100,2022-07-11 10:42:01,19.83798852992193,6,,
6037,dc:a6:32:26:67:ab,32.829353,7.532695,80,-57,2022-07-11T10:42:00.584+0100,2022-07-11 10:42:02,19.83798852992193,6,,
6038,dc:a6:32:26:67:ab,35.97265,2.789057,80,-57,2022-07-11T10:42:02.583+0100,2022-07-11 10:42:03,25.394008501740505,6,,
6039,dc:a6:32:26:67:ab,34.0,2.0,80,-60,2022-07-11T10:42:04.591+0100,2022-07-11 10:42:04,25.45617374070188,6,,
6040,dc:a6:32:26:67:ab,34.0,2.0,80,-60,2022-07-11T10:42:04.591+0100,2022-07-11 10:42:05,25.45617374070188,6,,
6041,dc:a6:32:26:67:ab,36.4263,3.2131507,80,-60,2022-07-11T10:42:06.618+0100,2022-07-11 10:42:07,25.182715573867377,6,,
6042,dc:a6:32:26:67:ab,36.4263,3.2131507,80,-60,2022-07-11T10:42:06.618+0100,2022-07-11 10:42:08,25.182715573867377,6,,
6043,dc:a6:32:26:67:ab,36.418053,3.2090259,80,-57,2022-07-11T10:42:08.688+0100,2022-07-11 10:42:09,25.18315636376949,6,,
6044,dc:a6:32:26:67:ab,36.418053,3.2090259,80,-57,2022-07-11T10:42:08.688+0100,2022-07-11 10:42:10,25.18315636376949,6,,
6045,dc:a6:32:26:67:ab,36.416668,0.0,80,-58,2022-07-11T10:42:10.722+0100,2022-07-11 10:42:11,28.14814653011996,6,,
6046,dc:a6:32:26:67:ab,36.416668,0.0,80,-58,2022-07-11T10:42:10.722+0100,2022-07-11 10:42:12,28.14814653011996,6,,
6047,dc:a6:32:26:67:ab,36.416668,0.0,88,-57,2022-07-11T10:42:12.726+0100,2022-07-11 10:42:13,28.14814653011996,6,,
6048,dc:a6:32:26:67:ab,36.416668,0.0,80,-57,2022-07-11T10:42:14.779+0100,2022-07-11 10:42:14,28.14814653011996,6,,
6049,dc:a6:32:26:67:ab,36.416668,0.0,80,-57,2022-07-11T10:42:14.779+0100,2022-07-11 10:42:15,28.14814653011996,6,,
6050,dc:a6:32:26:67:ab,29.133335,0.0,80,-59,2022-07-11T10:42:16.838+0100,2022-07-11 10:42:16,26.40497788138867,6,,
6051,dc:a6:32:26:67:ab,29.133335,0.0,80,-59,2022-07-11T10:42:16.838+0100,2022-07-11 10:42:18,26.40497788138867,6,,
6052,dc:a6:32:26:67:ab,29.133335,0.0,80,-58,2022-07-11T10:42:18.875+0100,2022-07-11 10:42:19,26.40497788138867,6,,
6053,dc:a6:32:26:67:ab,29.133335,0.0,80,-58,2022-07-11T10:42:18.875+0100,2022-07-11 10:42:20,26.40497788138867,6,,
6054,dc:a6:32:26:67:ab,29.133335,0.0,88,-58,2022-07-11T10:42:20.996+0100,2022-07-11 10:42:21,26.40497788138867,6,,
6055,dc:a6:32:26:67:ab,29.133335,0.0,88,-58,2022-07-11T10:42:20.996+0100,2022-07-11 10:42:22,26.40497788138867,6,,
6056,dc:a6:32:26:67:ab,29.133335,0.0,80,-57,2022-07-11T10:42:22.997+0100,2022-07-11 10:42:23,26.40497788138867,6,,
6057,dc:a6:32:26:67:ab,29.133335,0.0,80,-57,2022-07-11T10:42:22.997+0100,2022-07-11 10:42:24,26.40497788138867,6,,
6058,dc:a6:32:26:67:ab,29.133335,0.0,80,-56,2022-07-11T10:42:25.027+0100,2022-07-11 10:42:25,26.40497788138867,6,,
6059,dc:a6:32:26:67:ab,36.83907,4.739385,80,-56,2022-07-11T10:42:27.029+0100,2022-07-11 10:42:27,23.974222350781787,6,,
6060,dc:a6:32:26:67:ab,36.83907,4.739385,80,-56,2022-07-11T10:42:27.029+0100,2022-07-11 10:42:28,23.974222350781787,6,,
6061,dc:a6:32:26:67:ab,42.239548,9.294183,80,-56,2022-07-11T10:42:29.148+0100,2022-07-11 10:42:29,23.305773065357712,6,,
6062,dc:a6:32:26:67:ab,42.239548,9.294183,80,-56,2022-07-11T10:42:29.148+0100,2022-07-11 10:42:30,23.305773065357712,6,,
6063,dc:a6:32:26:67:ab,40.016247,8.008001,80,-58,2022-07-11T10:42:31.144+0100,2022-07-11 10:42:31,22.852806054502143,6,,
6064,dc:a6:32:26:67:ab,40.016247,8.008001,80,-58,2022-07-11T10:42:31.144+0100,2022-07-11 10:42:32,22.852806054502143,6,,
6065,dc:a6:32:26:67:ab,39.97408,7.9686604,80,-58,2022-07-11T10:42:33.153+0100,2022-07-11 10:42:33,22.85886863584356,6,,
6066,dc:a6:32:26:67:ab,39.97408,7.9686604,80,-58,2022-07-11T10:42:33.153+0100,2022-07-11 10:42:35,22.85886863584356,6,,
6067,dc:a6:32:26:67:ab,39.52861,7.927495,80,-57,2022-07-11T10:42:35.174+0100,2022-07-11 10:42:36,22.627474595560265,6,,
6068,dc:a6:32:26:67:ab,35.17619,2.7895994,80,-59,2022-07-11T10:42:37.261+0100,2022-07-11 10:42:37,25.099241847590623,6,,
6069,dc:a6:32:26:67:ab,35.17619,2.7895994,80,-59,2022-07-11T10:42:37.261+0100,2022-07-11 10:42:38,25.099241847590623,6,,
6070,dc:a6:32:26:67:ab,33.599743,2.0,80,-57,2022-07-11T10:42:39.285+0100,2022-07-11 10:42:39,25.33713436829289,6,,
6071,dc:a6:32:26:67:ab,33.599743,2.0,80,-57,2022-07-11T10:42:39.285+0100,2022-07-11 10:42:40,25.33713436829289,6,,
6072,dc:a6:32:26:67:ab,33.60245,2.0,80,-57,2022-07-11T10:42:41.311+0100,2022-07-11 10:42:41,25.33792009205373,6,,
6073,dc:a6:32:26:67:ab,33.60245,2.0,80,-57,2022-07-11T10:42:41.311+0100,2022-07-11 10:42:43,25.33792009205373,6,,
6074,dc:a6:32:26:67:ab,37.24465,6.852602,80,-57,2022-07-11T10:42:43.320+0100,2022-07-11 10:42:44,22.29543175816122,6,,
6075,dc:a6:32:26:67:ab,37.24465,6.852602,80,-57,2022-07-11T10:42:43.320+0100,2022-07-11 10:42:45,22.29543175816122,6,,
6076,dc:a6:32:26:67:ab,34.39201,11.688705,80,-58,2022-07-11T10:42:45.326+0100,2022-07-11 10:42:46,16.68177298503744,6,,
6077,dc:a6:32:26:67:ab,34.37826,11.639209,80,-58,2022-07-11T10:42:47.331+0100,2022-07-11 10:42:47,16.71829298662758,6,,
6078,dc:a6:32:26:67:ab,34.37826,11.639209,80,-58,2022-07-11T10:42:47.331+0100,2022-07-11 10:42:48,16.71829298662758,6,,
6079,dc:a6:32:26:67:ab,34.375877,11.573699,80,-57,2022-07-11T10:42:49.370+0100,2022-07-11 10:42:49,16.774407256207,6,,
6080,dc:a6:32:26:67:ab,34.375877,11.573699,80,-57,2022-07-11T10:42:49.370+0100,2022-07-11 10:42:50,16.774407256207,6,,
6081,dc:a6:32:26:67:ab,34.372803,11.508188,80,-57,2022-07-11T10:42:51.370+0100,2022-07-11 10:42:52,16.830256992628275,6,,
6082,dc:a6:32:26:67:ab,34.372803,11.508188,80,-57,2022-07-11T10:42:51.370+0100,2022-07-11 10:42:53,16.830256992628275,6,,
6083,dc:a6:32:26:67:ab,30.841604,6.737596,80,-57,2022-07-11T10:42:53.400+0100,2022-07-11 10:42:54,20.0429258897206,6,,
6084,dc:a6:32:26:67:ab,30.841604,6.737596,80,-57,2022-07-11T10:42:53.400+0100,2022-07-11 10:42:55,20.0429258897206,6,,
6085,dc:a6:32:26:67:ab,34.0,2.0,80,-57,2022-07-11T10:42:55.485+0100,2022-07-11 10:42:56,25.45617374070188,6,,
6086,dc:a6:32:26:67:ab,34.0,2.0,80,-57,2022-07-11T10:42:55.485+0100,2022-07-11 10:42:57,25.45617374070188,6,,
6087,dc:a6:32:26:67:ab,34.0,2.0,80,-57,2022-07-11T10:42:57.514+0100,2022-07-11 10:42:58,25.45617374070188,6,,
6088,dc:a6:32:26:67:ab,34.0,2.0,80,-57,2022-07-11T10:42:59.531+0100,2022-07-11 10:42:59,25.45617374070188,6,,
6089,dc:a6:32:26:67:ab,34.0,2.0,80,-57,2022-07-11T10:42:59.531+0100,2022-07-11 10:43:00,25.45617374070188,6,,
