,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
25875,dc:a6:32:26:67:ab,55.471268,31.629444,88,-65,2022-07-20T13:16:27.966+0100,2022-07-20 13:16:29,65.31551085486387,26,True,AOA
25876,dc:a6:32:26:67:ab,58.296288,30.817123,80,-65,2022-07-20T13:16:30.103+0100,2022-07-20 13:16:30,62.37610201798822,26,True,AOA
25877,dc:a6:32:26:67:ab,58.296288,30.817123,80,-65,2022-07-20T13:16:30.103+0100,2022-07-20 13:16:32,62.37610201798822,26,True,AOA
25878,dc:a6:32:26:67:ab,56.97182,31.257767,80,-65,2022-07-20T13:16:32.167+0100,2022-07-20 13:16:33,63.771177794816126,26,True,AOA
25879,dc:a6:32:26:67:ab,52.745304,32.52754,80,-65,2022-07-20T13:16:34.184+0100,2022-07-20 13:16:34,68.18428748440873,26,True,AOA
25880,dc:a6:32:26:67:ab,52.745304,32.52754,80,-65,2022-07-20T13:16:34.184+0100,2022-07-20 13:16:35,68.18428748440873,26,True,AOA
25881,dc:a6:32:26:67:ab,52.217922,32.977093,80,-65,2022-07-20T13:16:36.290+0100,2022-07-20 13:16:36,68.81837171459678,26,True,AOA
25882,dc:a6:32:26:67:ab,52.217922,32.977093,80,-65,2022-07-20T13:16:36.290+0100,2022-07-20 13:16:37,68.81837171459678,26,True,AOA
25883,dc:a6:32:26:67:ab,48.70929,34.255116,88,-65,2022-07-20T13:16:38.298+0100,2022-07-20 13:16:38,72.54683296013711,26,True,AOA
25884,dc:a6:32:26:67:ab,48.70929,34.255116,88,-65,2022-07-20T13:16:38.298+0100,2022-07-20 13:16:39,72.54683296013711,26,True,AOA
25885,dc:a6:32:26:67:ab,48.9194,34.19098,80,-65,2022-07-20T13:16:40.312+0100,2022-07-20 13:16:40,72.3271522484468,26,True,AOA
25886,dc:a6:32:26:67:ab,48.9194,34.19098,80,-65,2022-07-20T13:16:40.312+0100,2022-07-20 13:16:41,72.3271522484468,26,True,AOA
25887,dc:a6:32:26:67:ab,53.148743,32.920265,80,-65,2022-07-20T13:16:42.319+0100,2022-07-20 13:16:42,67.91107082103797,26,True,AOA
25888,dc:a6:32:26:67:ab,53.148743,32.920265,80,-65,2022-07-20T13:16:42.319+0100,2022-07-20 13:16:43,67.91107082103797,26,True,AOA
25889,dc:a6:32:26:67:ab,65.40406,32.937946,80,-65,2022-07-20T13:16:44.412+0100,2022-07-20 13:16:44,56.30771908489808,26,True,AOA
25890,dc:a6:32:26:67:ab,65.40406,32.937946,80,-65,2022-07-20T13:16:44.412+0100,2022-07-20 13:16:46,56.30771908489808,26,True,AOA
25891,dc:a6:32:26:67:ab,69.48718,31.69854,80,-65,2022-07-20T13:16:46.416+0100,2022-07-20 13:16:47,52.05035327253794,26,True,AOA
25892,dc:a6:32:26:67:ab,69.48718,31.69854,80,-65,2022-07-20T13:16:46.416+0100,2022-07-20 13:16:48,52.05035327253794,26,True,AOA
25893,dc:a6:32:26:67:ab,79.62278,29.20623,80,-65,2022-07-20T13:16:48.424+0100,2022-07-20 13:16:49,41.71262740092621,26,True,AOA
25894,dc:a6:32:26:67:ab,79.62278,29.20623,80,-65,2022-07-20T13:16:48.424+0100,2022-07-20 13:16:50,41.71262740092621,26,True,AOA
25895,dc:a6:32:26:67:ab,74.40988,30.783602,80,-65,2022-07-20T13:16:50.418+0100,2022-07-20 13:16:51,47.1339114823729,26,True,AOA
25896,dc:a6:32:26:67:ab,70.6835,31.991837,80,-73,2022-07-20T13:16:52.420+0100,2022-07-20 13:16:52,51.042287285417856,26,True,AOA
25897,dc:a6:32:26:67:ab,70.6835,31.991837,80,-73,2022-07-20T13:16:52.420+0100,2022-07-20 13:16:53,51.042287285417856,26,True,AOA
25898,dc:a6:32:26:67:ab,70.01815,28.789516,80,-73,2022-07-20T13:16:54.499+0100,2022-07-20 13:16:54,50.57941838717044,26,True,AOA
25899,dc:a6:32:26:67:ab,70.01815,28.789516,80,-73,2022-07-20T13:16:54.499+0100,2022-07-20 13:16:55,50.57941838717044,26,True,AOA
25900,dc:a6:32:26:67:ab,69.9494,29.207647,80,-73,2022-07-20T13:16:56.508+0100,2022-07-20 13:16:56,50.77569101256988,26,True,AOA
25901,dc:a6:32:26:67:ab,69.9494,29.207647,80,-73,2022-07-20T13:16:56.508+0100,2022-07-20 13:16:57,50.77569101256988,26,True,AOA
25902,dc:a6:32:26:67:ab,66.87686,29.987785,80,-73,2022-07-20T13:16:58.610+0100,2022-07-20 13:16:58,53.93763117532161,26,True,AOA
25903,dc:a6:32:26:67:ab,66.87686,29.987785,80,-73,2022-07-20T13:16:58.610+0100,2022-07-20 13:16:59,53.93763117532161,26,True,AOA
25904,dc:a6:32:26:67:ab,72.085106,28.380747,80,-73,2022-07-20T13:17:00.610+0100,2022-07-20 13:17:01,48.48815131334381,26,True,AOA
25905,dc:a6:32:26:67:ab,72.085106,28.380747,80,-73,2022-07-20T13:17:00.610+0100,2022-07-20 13:17:02,48.48815131334381,26,True,AOA
25906,dc:a6:32:26:67:ab,76.330635,27.139969,96,-73,2022-07-20T13:17:02.682+0100,2022-07-20 13:17:03,44.06813726282184,26,True,AOA
25907,dc:a6:32:26:67:ab,76.330635,27.139969,96,-73,2022-07-20T13:17:02.682+0100,2022-07-20 13:17:04,44.06813726282184,26,True,AOA
25908,dc:a6:32:26:67:ab,73.31308,27.991056,80,-73,2022-07-20T13:17:04.678+0100,2022-07-20 13:17:05,47.19993568230805,26,True,AOA
25909,dc:a6:32:26:67:ab,73.31308,27.991056,80,-73,2022-07-20T13:17:04.678+0100,2022-07-20 13:17:06,47.19993568230805,26,True,AOA
25910,dc:a6:32:26:67:ab,81.25768,25.229162,96,-73,2022-07-20T13:17:06.786+0100,2022-07-20 13:17:07,38.7899680409356,26,True,AOA
25911,dc:a6:32:26:67:ab,81.25768,25.229162,96,-73,2022-07-20T13:17:06.786+0100,2022-07-20 13:17:08,38.7899680409356,26,True,AOA
25912,dc:a6:32:26:67:ab,75.97579,25.87477,88,-73,2022-07-20T13:17:08.773+0100,2022-07-20 13:17:09,44.02170298603406,26,True,AOA
25913,dc:a6:32:26:67:ab,75.999,25.86738,80,-73,2022-07-20T13:17:10.807+0100,2022-07-20 13:17:10,43.99734742115712,26,True,AOA
25914,dc:a6:32:26:67:ab,75.999,25.86738,80,-73,2022-07-20T13:17:10.807+0100,2022-07-20 13:17:11,43.99734742115712,26,True,AOA
25915,dc:a6:32:26:67:ab,83.0957,24.226902,80,-73,2022-07-20T13:17:12.827+0100,2022-07-20 13:17:12,36.73290971809019,26,True,AOA
25916,dc:a6:32:26:67:ab,83.0957,24.226902,80,-73,2022-07-20T13:17:12.827+0100,2022-07-20 13:17:14,36.73290971809019,26,True,AOA
25917,dc:a6:32:26:67:ab,79.79159,25.64058,80,-73,2022-07-20T13:17:14.913+0100,2022-07-20 13:17:15,40.311285446521055,26,True,AOA
25918,dc:a6:32:26:67:ab,79.79159,25.64058,80,-73,2022-07-20T13:17:14.913+0100,2022-07-20 13:17:16,40.311285446521055,26,True,AOA
25919,dc:a6:32:26:67:ab,73.64872,27.38013,80,-73,2022-07-20T13:17:16.937+0100,2022-07-20 13:17:17,46.69135092866023,26,True,AOA
25920,dc:a6:32:26:67:ab,73.64872,27.38013,80,-73,2022-07-20T13:17:16.937+0100,2022-07-20 13:17:18,46.69135092866023,26,True,AOA
25921,dc:a6:32:26:67:ab,72.693954,27.225399,80,-73,2022-07-20T13:17:18.958+0100,2022-07-20 13:17:19,47.55529978868093,26,True,AOA
