,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
16910,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:45,55.104555129966606,18,True,RSSI
16911,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:46,55.104555129966606,18,True,RSSI
16912,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:47,55.104555129966606,18,True,RSSI
16913,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:48,55.104555129966606,18,True,RSSI
16914,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:49,55.104555129966606,18,True,RSSI
16915,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:50,55.104555129966606,18,True,RSSI
16916,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:51,55.104555129966606,18,True,RSSI
16917,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:53,55.104555129966606,18,True,RSSI
16918,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:54,55.104555129966606,18,True,RSSI
16919,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:55,55.104555129966606,18,True,RSSI
16920,dc:a6:32:26:67:ab,24.17242,33.919643,48,-70,2022-07-14T14:17:57.609+0100,2022-07-14 14:18:56,55.104555129966606,18,True,RSSI
