,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
4954,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:31.666+0100,2022-07-11 10:11:32,6.399445504479275,5,,
4955,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:31.666+0100,2022-07-11 10:11:33,6.399445504479275,5,,
4956,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:33.679+0100,2022-07-11 10:11:34,6.399445504479275,5,,
4957,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:33.679+0100,2022-07-11 10:11:35,6.399445504479275,5,,
4958,dc:a6:32:26:67:ab,21.85,44.02,88,-56,2022-07-11T10:11:35.776+0100,2022-07-11 10:11:36,6.399445504479275,5,,
4959,dc:a6:32:26:67:ab,21.85,44.02,88,-56,2022-07-11T10:11:35.776+0100,2022-07-11 10:11:37,6.399445504479275,5,,
4960,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:37.865+0100,2022-07-11 10:11:38,6.399445504479275,5,,
4961,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:37.865+0100,2022-07-11 10:11:39,6.399445504479275,5,,
4962,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:39.878+0100,2022-07-11 10:11:40,6.399445504479275,5,,
4963,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:41.944+0100,2022-07-11 10:11:41,6.399445504479275,5,,
4964,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:41.944+0100,2022-07-11 10:11:43,6.399445504479275,5,,
4965,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:43.960+0100,2022-07-11 10:11:44,6.399445504479275,5,,
4966,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:43.960+0100,2022-07-11 10:11:45,6.399445504479275,5,,
4967,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:45.983+0100,2022-07-11 10:11:46,6.399445504479275,5,,
4968,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:45.983+0100,2022-07-11 10:11:47,6.399445504479275,5,,
4969,dc:a6:32:26:67:ab,29.133335,44.02,88,-54,2022-07-11T10:11:48.149+0100,2022-07-11 10:11:48,5.473052362678893,5,,
4970,dc:a6:32:26:67:ab,29.133335,44.02,88,-54,2022-07-11T10:11:48.149+0100,2022-07-11 10:11:49,5.473052362678893,5,,
4971,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:50.147+0100,2022-07-11 10:11:50,6.399445504479275,5,,
4972,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:50.147+0100,2022-07-11 10:11:51,6.399445504479275,5,,
4973,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:52.158+0100,2022-07-11 10:11:52,6.399445504479275,5,,
4974,dc:a6:32:26:67:ab,21.85,44.02,88,-54,2022-07-11T10:11:52.158+0100,2022-07-11 10:11:53,6.399445504479275,5,,
4975,dc:a6:32:26:67:ab,21.85,44.02,88,-53,2022-07-11T10:11:54.278+0100,2022-07-11 10:11:54,6.399445504479275,5,,
4976,dc:a6:32:26:67:ab,21.85,44.02,88,-53,2022-07-11T10:11:54.278+0100,2022-07-11 10:11:55,6.399445504479275,5,,
4977,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:56.292+0100,2022-07-11 10:11:57,6.399445504479275,5,,
4978,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:56.292+0100,2022-07-11 10:11:58,6.399445504479275,5,,
4979,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:11:58.297+0100,2022-07-11 10:11:59,6.399445504479275,5,,
4980,dc:a6:32:26:67:ab,21.85,44.02,80,-55,2022-07-11T10:12:00.301+0100,2022-07-11 10:12:00,6.399445504479275,5,,
4981,dc:a6:32:26:67:ab,21.85,44.02,80,-55,2022-07-11T10:12:00.301+0100,2022-07-11 10:12:01,6.399445504479275,5,,
4982,dc:a6:32:26:67:ab,29.133335,44.02,88,-54,2022-07-11T10:12:02.352+0100,2022-07-11 10:12:02,5.473052362678893,5,,
4983,dc:a6:32:26:67:ab,29.133335,44.02,88,-54,2022-07-11T10:12:02.352+0100,2022-07-11 10:12:03,5.473052362678893,5,,
4984,dc:a6:32:26:67:ab,21.85,44.02,80,-55,2022-07-11T10:12:04.371+0100,2022-07-11 10:12:04,6.399445504479275,5,,
4985,dc:a6:32:26:67:ab,21.85,44.02,80,-55,2022-07-11T10:12:04.371+0100,2022-07-11 10:12:05,6.399445504479275,5,,
4986,dc:a6:32:26:67:ab,21.85,44.02,88,-55,2022-07-11T10:12:06.385+0100,2022-07-11 10:12:06,6.399445504479275,5,,
4987,dc:a6:32:26:67:ab,21.85,44.02,88,-55,2022-07-11T10:12:06.385+0100,2022-07-11 10:12:07,6.399445504479275,5,,
4988,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:12:08.486+0100,2022-07-11 10:12:08,6.399445504479275,5,,
4989,dc:a6:32:26:67:ab,21.85,44.02,80,-54,2022-07-11T10:12:08.486+0100,2022-07-11 10:12:09,6.399445504479275,5,,
4990,dc:a6:32:26:67:ab,29.133335,44.02,80,-54,2022-07-11T10:12:10.558+0100,2022-07-11 10:12:11,5.473052362678893,5,,
4991,dc:a6:32:26:67:ab,29.133335,44.02,80,-54,2022-07-11T10:12:10.558+0100,2022-07-11 10:12:12,5.473052362678893,5,,
4992,dc:a6:32:26:67:ab,29.133335,44.02,80,-54,2022-07-11T10:12:12.592+0100,2022-07-11 10:12:13,5.473052362678893,5,,
4993,dc:a6:32:26:67:ab,29.133335,44.02,80,-54,2022-07-11T10:12:12.592+0100,2022-07-11 10:12:14,5.473052362678893,5,,
4994,dc:a6:32:26:67:ab,29.133335,44.02,80,-54,2022-07-11T10:12:14.708+0100,2022-07-11 10:12:15,5.473052362678893,5,,
