,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
9190,dc:a6:32:26:67:ab,18.83905,22.211672,88,-63,2022-07-11T11:07:41.498+0100,2022-07-11 11:07:42,20.92378563317843,10,,
9191,dc:a6:32:26:67:ab,18.876316,22.151928,80,-63,2022-07-11T11:07:43.573+0100,2022-07-11 11:07:43,20.898844092699484,10,,
9192,dc:a6:32:26:67:ab,18.876316,22.151928,80,-63,2022-07-11T11:07:43.573+0100,2022-07-11 11:07:45,20.898844092699484,10,,
9193,dc:a6:32:26:67:ab,20.574278,19.18309,80,-63,2022-07-11T11:07:45.611+0100,2022-07-11 11:07:46,20.079268950838426,10,,
9194,dc:a6:32:26:67:ab,20.574278,19.18309,80,-63,2022-07-11T11:07:45.611+0100,2022-07-11 11:07:47,20.079268950838426,10,,
9195,dc:a6:32:26:67:ab,21.836414,17.082834,80,-64,2022-07-11T11:07:47.642+0100,2022-07-11 11:07:48,19.78398973969993,10,,
9196,dc:a6:32:26:67:ab,21.836414,17.082834,80,-64,2022-07-11T11:07:47.642+0100,2022-07-11 11:07:49,19.78398973969993,10,,
9197,dc:a6:32:26:67:ab,25.159224,11.68155,80,-64,2022-07-11T11:07:49.700+0100,2022-07-11 11:07:50,20.349265475236106,10,,
9198,dc:a6:32:26:67:ab,25.20494,11.590117,80,-64,2022-07-11T11:07:51.753+0100,2022-07-11 11:07:51,20.38301260165457,10,,
9199,dc:a6:32:26:67:ab,25.20494,11.590117,80,-64,2022-07-11T11:07:51.753+0100,2022-07-11 11:07:53,20.38301260165457,10,,
9200,dc:a6:32:26:67:ab,25.602451,10.795099,80,-64,2022-07-11T11:07:53.824+0100,2022-07-11 11:07:54,20.69541494653543,10,,
9201,dc:a6:32:26:67:ab,25.602451,10.795099,80,-64,2022-07-11T11:07:53.824+0100,2022-07-11 11:07:55,20.69541494653543,10,,
9202,dc:a6:32:26:67:ab,26.818348,10.385217,80,-64,2022-07-11T11:07:55.826+0100,2022-07-11 11:07:56,20.22704263155721,10,,
9203,dc:a6:32:26:67:ab,26.818348,10.385217,80,-64,2022-07-11T11:07:55.826+0100,2022-07-11 11:07:57,20.22704263155721,10,,
9204,dc:a6:32:26:67:ab,27.209026,9.596992,80,-64,2022-07-11T11:07:57.870+0100,2022-07-11 11:07:58,20.618066758668235,10,,
9205,dc:a6:32:26:67:ab,27.209026,9.596992,80,-64,2022-07-11T11:07:57.870+0100,2022-07-11 11:07:59,20.618066758668235,10,,
9206,dc:a6:32:26:67:ab,27.200777,9.599742,80,-64,2022-07-11T11:07:59.875+0100,2022-07-11 11:08:00,20.620713179671867,10,,
9207,dc:a6:32:26:67:ab,25.575113,12.433136,80,-64,2022-07-11T11:08:01.914+0100,2022-07-11 11:08:01,19.5221980692786,10,,
9208,dc:a6:32:26:67:ab,25.575113,12.433136,80,-64,2022-07-11T11:08:01.914+0100,2022-07-11 11:08:03,19.5221980692786,10,,
9209,dc:a6:32:26:67:ab,23.95483,15.256946,80,-64,2022-07-11T11:08:03.939+0100,2022-07-11 11:08:04,18.93158908104589,10,,
9210,dc:a6:32:26:67:ab,23.95483,15.256946,80,-64,2022-07-11T11:08:03.939+0100,2022-07-11 11:08:05,18.93158908104589,10,,
9211,dc:a6:32:26:67:ab,21.169397,18.453558,80,-64,2022-07-11T11:08:06.022+0100,2022-07-11 11:08:06,19.798945315969057,10,,
